///////////////////////////////////////////////////Testing vending_machine///////////////////////////////////////////////////////////////////////
//Inputs: clock (N/A), reset - 1'b; A - 1'b; B - 1'b; C - 1'b; D - 1'b; 
//                     ONE - 1'b; TWO - 1'b; THREE - 1'b; FOUR - 1'b; FIVE - 1'b; 
//             
//Outputs: food_selection - 5'b;  
//format: reset(x), food_dispensed(x), coin_inserted(xxx),A(x), B(x), C(x), D(x), ONE(x), TWO(x), THREE(x), FOUR(x), FIVE(x),  
//        food_selection(xxxxx), coin_to_return(xxx), num_to_display(xxxxxxxxxx) --> x_x_xxx_x_x_x_x_x_x_x_x_x_xxxxx_xxx_xxxxxxxxxx

//testing reset/initializing system
1_0_0_0_0_0_0_0_0_0_00000           //0

//testing each selection with resets in-between
0_1_0_0_0_1_0_0_0_0_00000  //A1 1
0_0_0_0_0_0_0_0_0_0_00001  //loading value
1_0_0_0_0_0_0_0_0_0_00001  //reset

0_1_0_0_0_0_1_0_0_0_00000  //A2 1
0_0_0_0_0_0_0_0_0_0_00010  //loading value
1_0_0_0_0_0_0_0_0_0_00010  //reset

0_1_0_0_0_0_0_1_0_0_00000  //A3 1
0_0_0_0_0_0_0_0_0_0_00011  //loading value
1_0_0_0_0_0_0_0_0_0_00011  //reset

0_1_0_0_0_0_0_0_1_0_00000  //A4 1
0_0_0_0_0_0_0_0_0_0_00100  //loading value
1_0_0_0_0_0_0_0_0_0_00100  //reset

0_1_0_0_0_0_0_0_0_1_00000  //A5 1
0_0_0_0_0_0_0_0_0_0_00101  //loading value
1_0_0_0_0_0_0_0_0_0_00101  //reset

0_0_1_0_0_1_0_0_0_0_00000  //B1 1
0_0_0_0_0_0_0_0_0_0_00110  //loading value
1_0_0_0_0_0_0_0_0_0_00110  //reset

0_0_1_0_0_0_1_0_0_0_00000  //B2 1
0_0_0_0_0_0_0_0_0_0_00111  //loading value
1_0_0_0_0_0_0_0_0_0_00111  //reset

0_0_1_0_0_0_0_1_0_0_00000  //B3 1
0_0_0_0_0_0_0_0_0_0_01000  //loading value
1_0_0_0_0_0_0_0_0_0_01000  //reset

0_0_1_0_0_0_0_0_1_0_00000  //B4 1
0_0_0_0_0_0_0_0_0_0_01001  //loading value
1_0_0_0_0_0_0_0_0_0_01001  //reset

0_0_1_0_0_0_0_0_0_1_00000  //B5 1
0_0_0_0_0_0_0_0_0_0_01010  //loading value
1_0_0_0_0_0_0_0_0_0_01010  //reset

0_0_0_1_0_1_0_0_0_0_00000  //C1 1
0_0_0_0_0_0_0_0_0_0_01011  //loading value
1_0_0_0_0_0_0_0_0_0_01011  //reset

0_0_0_1_0_0_1_0_0_0_00000  //C2 1
0_0_0_0_0_0_0_0_0_0_01100  //loading value
1_0_0_0_0_0_0_0_0_0_01100  //reset

0_0_0_1_0_0_0_1_0_0_00000  //C3 1
0_0_0_0_0_0_0_0_0_0_01101  //loading value
1_0_0_0_0_0_0_0_0_0_01101  //reset

0_0_0_1_0_0_0_0_1_0_00000  //C4 1
0_0_0_0_0_0_0_0_0_0_01110  //loading value
1_0_0_0_0_0_0_0_0_0_01110  //reset

0_0_0_1_0_0_0_0_0_1_00000  //C5 1
0_0_0_0_0_0_0_0_0_0_01111  //loading value
1_0_0_0_0_0_0_0_0_0_01111  //reset

0_0_0_0_1_1_0_0_0_0_00000  //D1 1
0_0_0_0_0_0_0_0_0_0_10000  //loading value
1_0_0_0_0_0_0_0_0_0_10000  //reset

0_0_0_0_1_0_1_0_0_0_00000  //D2 1
0_0_0_0_0_0_0_0_0_0_10001  //loading value
1_0_0_0_0_0_0_0_0_0_10001  //reset

0_0_0_0_1_0_0_1_0_0_00000  //D3 1
0_0_0_0_0_0_0_0_0_0_10010  //loading value
1_0_0_0_0_0_0_0_0_0_10010  //reset

0_0_0_0_1_0_0_0_1_0_00000  //D4 1
0_0_0_0_0_0_0_0_0_0_10011  //loading value
1_0_0_0_0_0_0_0_0_0_10011  //reset

0_0_0_0_1_0_0_0_0_1_00000  //D5 1
0_0_0_0_0_0_0_0_0_0_10100  //loading value
1_0_0_0_0_0_0_0_0_0_10100  //reset


//testing each selection without resets in-between
0_1_0_0_0_1_0_0_0_0_00000  //A1 1
0_0_0_0_0_0_0_0_0_0_00001  //loading value

0_1_0_0_0_0_1_0_0_0_00001  //A2 1
0_0_0_0_0_0_0_0_0_0_00010  //loading value

0_1_0_0_0_0_0_1_0_0_00010  //A3 1
0_0_0_0_0_0_0_0_0_0_00011  //loading value

0_1_0_0_0_0_0_0_1_0_00011  //A4 1
0_0_0_0_0_0_0_0_0_0_00100  //loading value

0_1_0_0_0_0_0_0_0_1_00100  //A5 1
0_0_0_0_0_0_0_0_0_0_00101  //loading value

0_0_1_0_0_1_0_0_0_0_00101  //B1 1
0_0_0_0_0_0_0_0_0_0_00110  //loading value

0_0_1_0_0_0_1_0_0_0_00110  //B2 1
0_0_0_0_0_0_0_0_0_0_00111  //loading value

0_0_1_0_0_0_0_1_0_0_00111  //B3 1
0_0_0_0_0_0_0_0_0_0_01000  //loading value

0_0_1_0_0_0_0_0_1_0_01000  //B4 1
0_0_0_0_0_0_0_0_0_0_01001  //loading value

0_0_1_0_0_0_0_0_0_1_01001  //B5 1
0_0_0_0_0_0_0_0_0_0_01010  //loading value

0_0_0_1_0_1_0_0_0_0_01010  //C1 1
0_0_0_0_0_0_0_0_0_0_01011  //loading value

0_0_0_1_0_0_1_0_0_0_01011  //C2 1
0_0_0_0_0_0_0_0_0_0_01100  //loading value

0_0_0_1_0_0_0_1_0_0_01100  //C3 1
0_0_0_0_0_0_0_0_0_0_01101  //loading value

0_0_0_1_0_0_0_0_1_0_01101  //C4 1
0_0_0_0_0_0_0_0_0_0_01110  //loading value

0_0_0_1_0_0_0_0_0_1_01110  //C5 1
0_0_0_0_0_0_0_0_0_0_01111  //loading value

0_0_0_0_1_1_0_0_0_0_01111  //D1 1
0_0_0_0_0_0_0_0_0_0_10000  //loading value

0_0_0_0_1_0_1_0_0_0_10000  //D2 1
0_0_0_0_0_0_0_0_0_0_10001  //loading value

0_0_0_0_1_0_0_1_0_0_10001  //D3 1
0_0_0_0_0_0_0_0_0_0_10010  //loading value

0_0_0_0_1_0_0_0_1_0_10010  //D4 1
0_0_0_0_0_0_0_0_0_0_10011  //loading value

0_0_0_0_1_0_0_0_0_1_10011  //D5 1
0_0_0_0_0_0_0_0_0_0_10100  //loading value

